hotel_name,pca_pc1,pca_pc2,var_ratio_pc1,var_ratio_pc2
Akyaka Zeytin Apart,8.881784197001253e-17,0.0,0.20796570891904398,0.20348989819729013
Elçin Kız Öğrenci Apartı,3.3306690738754695e-17,-2.2204460492503132e-17,0.24837474688056685,0.18656466813224382
İNCİLİ PANSİYON-OTEL-APART,-1.1102230246251566e-17,-1.6653345369377347e-17,0.23701748032666695,0.21587242892794437
Yatu Apart Otel,6.938893903907228e-17,6.938893903907228e-17,0.32536971028793166,0.32536971028793155
belgin pansiyon,5.551115123125783e-17,5.828670879282072e-17,0.18846417446080288,0.18258754288593795
Günışığı Apart,-3.3306690738754695e-17,4.4408920985006264e-17,0.21980408869191934,0.20417904577877932
Akasya Apart Otel (Akyaka),1.1102230246251566e-17,-2.2204460492503132e-17,0.22639775175623275,0.2055945311337186
Gülemce Apart & Villas,6.106226635438361e-17,1.1102230246251566e-17,0.1656694311070219,0.16124637729889163
Huzur Apart Otel,-2.2204460492503132e-17,-8.743006318923108e-17,0.17687380445414938,0.13775357115324016
PORTOFİNO APART ŞUBE,0.0,0.0,,
Ugur Apart Hotel,4.163336342344337e-18,4.4408920985006264e-17,0.22172698573685512,0.19690058383008863
Deger Apart Akyaka,6.661338147750939e-17,2.7755575615628914e-17,0.1869622944659553,0.14982675494548445
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,-3.8857805861880476e-17,1.1102230246251566e-17,0.2031801882932778,0.1878915789332438
Gülzade Konak Apart,2.2204460492503132e-17,3.053113317719181e-17,0.2210978886612979,0.20622253305236682
Mimoza Pansiyon,3.3306690738754695e-17,3.3306690738754695e-17,0.23678390741854147,0.19633281513560155
No22 Riders'Inn,1.8318679906315082e-16,0.0,0.13333406588638747,0.12869959183124816
Amber Suites Akyaka,2.2204460492503132e-17,-4.4408920985006264e-17,0.14822644163873072,0.1340368258986902
Kordon Otel & Apart Akyaka Ula Muğla,-3.3306690738754695e-17,-4.709774237277031e-17,0.15059287928526352,0.14149793227098156
Shimal Residences & Hotel,0.0,-2.7755575615628915e-18,0.19422816612037383,0.19110580139982378
Totelya Hotel,2.2204460492503132e-17,-4.9960036108132046e-17,0.1319903953278655,0.12129959775392565
Huzur Han Otel,4.4408920985006264e-17,0.0,0.200807240590806,0.1833325676592819
Akyaka Kaya Delsol Otel,0.0,-4.4408920985006264e-17,0.2094911326640367,0.17194448994681577
Akyaka Yali Capkini,1.1102230246251566e-17,-1.6653345369377347e-17,0.22988133444752035,0.21141991382790667
